IdProducto	IdFechaOrden	IdFechaProducción	IdFechaEntrega	IdCliente	IdPromoción	IdMoneda	IdTerritorio	IdOrden	NumLineaOrden	NumRevisión	Cantidad	Precio	ImporteExtendido	DescuentoUnitario	Descuento	Coste	CosteTotal	Ventas	IVA	Portes	IdSeguimiento	PONumCliente	FechaOrden	FechaProducción	FechaEntrega	Categoría	Subcategoría	Producto	Nombres	Apellidos	Género	EstadoCivil	Ciudad	País
312	20101231	20110112	20110107	27616	1	100	4	SO43707	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2010-12-31 00:00:00.000	2011-01-12 00:00:00.000	2011-01-07 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 48	Emma	Brown	F	S	Lemon Grove	United States
330	20101231	20110112	20110107	20042	1	98	10	SO43708	1	1	1	699,0982	699,0982	0	0	413,1463	413,1463	699,0982	55,9279	17,4775	NULL	NULL	2010-12-31 00:00:00.000	2011-01-12 00:00:00.000	2011-01-07 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 650, roja, 52	Brad	Deng	M	M	Liverpool	United Kingdom
313	20101231	20110112	20110107	16351	1	6	9	SO43709	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2010-12-31 00:00:00.000	2011-01-12 00:00:00.000	2011-01-07 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 52	Martha	Xu	F	S	Rockhampton	Australia
314	20101231	20110112	20110107	16517	1	6	9	SO43710	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2010-12-31 00:00:00.000	2011-01-12 00:00:00.000	2011-01-07 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 56	Katrina	Raji	F	M	Wollongong	Australia
314	20110101	20110113	20110108	27606	1	100	1	SO43711	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2011-01-01 00:00:00.000	2011-01-13 00:00:00.000	2011-01-08 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 56	Courtney	Edwards	F	S	Milwaukie	United States
311	20110101	20110113	20110108	13513	1	29	8	SO43712	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2011-01-01 00:00:00.000	2011-01-13 00:00:00.000	2011-01-08 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 44	Abigail	Henderson	F	M	Werne	Germany
310	20110102	20110114	20110109	27601	1	100	4	SO43713	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2011-01-02 00:00:00.000	2011-01-14 00:00:00.000	2011-01-09 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 62	Sydney	Rogers	F	S	Burbank	United States
311	20110102	20110114	20110109	13591	1	98	10	SO43714	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2011-01-02 00:00:00.000	2011-01-14 00:00:00.000	2011-01-09 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 44	Latasha	Alonso	F	M	York	United Kingdom
314	20110102	20110114	20110109	16483	1	6	9	SO43715	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2011-01-02 00:00:00.000	2011-01-14 00:00:00.000	2011-01-09 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 56	Warren	Jai	M	M	Melbourne	Australia
311	20110102	20110114	20110109	16529	1	6	9	SO43716	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2011-01-02 00:00:00.000	2011-01-14 00:00:00.000	2011-01-09 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 44	Jonathon	Gutierrez	M	M	Goulburn	Australia
336	20110102	20110114	20110109	25249	1	6	9	SO43717	1	1	1	699,0982	699,0982	0	0	413,1463	413,1463	699,0982	55,9279	17,4775	NULL	NULL	2011-01-02 00:00:00.000	2011-01-14 00:00:00.000	2011-01-09 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 650, negra, 62	Alexandra	Watson	F	S	Goulburn	Australia
311	20110103	20110115	20110110	27668	1	100	1	SO43718	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2011-01-03 00:00:00.000	2011-01-15 00:00:00.000	2011-01-10 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 44	Kevin	Gonzalez	M	S	Kirkland	United States
312	20110103	20110115	20110110	27612	1	100	4	SO43719	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2011-01-03 00:00:00.000	2011-01-15 00:00:00.000	2011-01-10 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 48	Lucas	Hill	M	M	Berkeley	United States
311	20110103	20110115	20110110	13264	1	29	8	SO43720	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2011-01-03 00:00:00.000	2011-01-15 00:00:00.000	2011-01-10 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 44	Melanie	Sanchez	F	M	Ingolstadt	Germany
310	20110103	20110115	20110110	13590	1	98	10	SO43721	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2011-01-03 00:00:00.000	2011-01-15 00:00:00.000	2011-01-10 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 62	Louis	Xie	M	M	York	United Kingdom
312	20110104	20110116	20110111	13581	1	98	10	SO43722	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2011-01-04 00:00:00.000	2011-01-16 00:00:00.000	2011-01-11 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 48	Albert	Blanco	M	M	Esher-Molesey	United Kingdom
332	20110104	20110116	20110111	14520	1	100	1	SO43723	1	1	1	699,0982	699,0982	0	0	413,1463	413,1463	699,0982	55,9279	17,4775	NULL	NULL	2011-01-04 00:00:00.000	2011-01-16 00:00:00.000	2011-01-11 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 650, negra, 58	Bonnie	Xu	F	S	Bremerton	United States
311	20110104	20110116	20110111	16520	1	6	9	SO43724	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2011-01-04 00:00:00.000	2011-01-16 00:00:00.000	2011-01-11 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 44	Misty	Raji	F	M	Bendigo	Australia
311	20110105	20110117	20110112	13258	1	29	8	SO43725	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2011-01-05 00:00:00.000	2011-01-17 00:00:00.000	2011-01-12 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 44	Anne	Dominguez	F	M	Kassel	Germany
332	20110105	20110117	20110112	14560	1	100	4	SO43726	1	1	1	699,0982	699,0982	0	0	413,1463	413,1463	699,0982	55,9279	17,4775	NULL	NULL	2011-01-05 00:00:00.000	2011-01-17 00:00:00.000	2011-01-12 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 650, negra, 58	Kelvin	Huang	M	M	Bellflower	United States
311	20110105	20110117	20110112	16607	1	6	9	SO43727	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2011-01-05 00:00:00.000	2011-01-17 00:00:00.000	2011-01-12 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 44	Logan	Gonzales	M	M	Brisbane	Australia
313	20110106	20110118	20110113	27666	1	100	4	SO43728	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2011-01-06 00:00:00.000	2011-01-18 00:00:00.000	2011-01-13 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 52	Alyssa	Garcia	F	M	Fremont	United States
346	20110106	20110118	20110113	11238	1	98	10	SO43729	1	1	1	3399,99	3399,99	0	0	1912,1544	1912,1544	3399,99	271,9992	84,9998	NULL	NULL	2011-01-06 00:00:00.000	2011-01-18 00:00:00.000	2011-01-13 00:00:00.000	Bicicleta	Bicicleta de montaña	Montaña: 100, plateada, 44	Mayra	Prasad	F	S	Birmingham	United Kingdom
346	20110106	20110118	20110113	25861	1	100	4	SO43730	1	1	1	3399,99	3399,99	0	0	1912,1544	1912,1544	3399,99	271,9992	84,9998	NULL	NULL	2011-01-06 00:00:00.000	2011-01-18 00:00:00.000	2011-01-13 00:00:00.000	Bicicleta	Bicicleta de montaña	Montaña: 100, plateada, 44	Garrett	Cooper	M	M	Woodland Hills	United States
314	20110106	20110118	20110113	16629	1	6	9	SO43731	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2011-01-06 00:00:00.000	2011-01-18 00:00:00.000	2011-01-13 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 56	Rosa	Zheng	F	S	Matraville	Australia
350	20110106	20110118	20110113	11025	1	6	9	SO43732	1	1	1	3374,99	3374,99	0	0	1898,0944	1898,0944	3374,99	269,9992	84,3748	NULL	NULL	2011-01-06 00:00:00.000	2011-01-18 00:00:00.000	2011-01-13 00:00:00.000	Bicicleta	Bicicleta de montaña	Montaña: 100, negra, 44	Alejandro	Beck	M	M	Hawthorne	Australia
312	20110106	20110118	20110113	27577	1	100	1	SO43733	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2011-01-06 00:00:00.000	2011-01-18 00:00:00.000	2011-01-13 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 48	Patrick	Cook	M	S	Port Orchard	United States
312	20110107	20110119	20110114	27604	1	100	1	SO43734	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2011-01-07 00:00:00.000	2011-01-19 00:00:00.000	2011-01-14 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 48	Richard	Brooks	M	M	Port Orchard	United States
310	20110107	20110119	20110114	16522	1	6	9	SO43735	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2011-01-07 00:00:00.000	2011-01-19 00:00:00.000	2011-01-14 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 62	Casey	Pal	F	M	Caloundra	Australia
346	20110107	20110119	20110114	11002	1	6	9	SO43736	1	1	1	3399,99	3399,99	0	0	1912,1544	1912,1544	3399,99	271,9992	84,9998	NULL	NULL	2011-01-07 00:00:00.000	2011-01-19 00:00:00.000	2011-01-14 00:00:00.000	Bicicleta	Bicicleta de montaña	Montaña: 100, plateada, 44	Ruben	Torres	M	M	Hobart	Australia
311	20110108	20110120	20110115	13261	1	29	8	SO43737	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2011-01-08 00:00:00.000	2011-01-20 00:00:00.000	2011-01-15 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 44	Lindsey	Andersen	F	M	Paderborn	Germany
312	20110108	20110120	20110115	11606	1	39	7	SO43738	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2011-01-08 00:00:00.000	2011-01-20 00:00:00.000	2011-01-15 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 48	Melody	Ramos	F	S	Morangis	France
310	20110108	20110120	20110115	13563	1	98	10	SO43739	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2011-01-08 00:00:00.000	2011-01-20 00:00:00.000	2011-01-15 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 62	Phillip	Sai	M	M	Stoke-on-Trent	United Kingdom
312	20110108	20110120	20110115	16527	1	6	9	SO43740	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2011-01-08 00:00:00.000	2011-01-20 00:00:00.000	2011-01-15 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 48	Cory	Arun	M	S	Milsons Point	Australia
310	20110109	20110121	20110116	27671	1	100	1	SO43741	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2011-01-09 00:00:00.000	2011-01-21 00:00:00.000	2011-01-16 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 62	Jeremiah	Martinez	M	S	Ballard	United States
314	20110109	20110121	20110116	13576	1	98	10	SO43742	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2011-01-09 00:00:00.000	2011-01-21 00:00:00.000	2011-01-16 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 56	Tamara	Lal	F	S	London	United Kingdom
347	20110109	20110121	20110116	11007	1	6	9	SO43743	1	1	1	3399,99	3399,99	0	0	1912,1544	1912,1544	3399,99	271,9992	84,9998	NULL	NULL	2011-01-09 00:00:00.000	2011-01-21 00:00:00.000	2011-01-16 00:00:00.000	Bicicleta	Bicicleta de montaña	Montaña: 100, plateada, 48	Marco	Mehta	M	M	Warrnambool	Australia
313	20110109	20110121	20110116	16631	1	6	9	SO43744	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2011-01-09 00:00:00.000	2011-01-21 00:00:00.000	2011-01-16 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 52	Haley	Ward	F	S	Rockhampton	Australia
311	20110110	20110122	20110117	16514	1	6	9	SO43745	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2011-01-10 00:00:00.000	2011-01-22 00:00:00.000	2011-01-17 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 44	Manuel	Fernandez	M	S	Malabar	Australia
312	20110110	20110122	20110117	16616	1	6	9	SO43746	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2011-01-10 00:00:00.000	2011-01-22 00:00:00.000	2011-01-17 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 48	Kelvin	Liang	M	S	Perth	Australia
314	20110111	20110123	20110118	27623	1	100	4	SO43747	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2011-01-11 00:00:00.000	2011-01-23 00:00:00.000	2011-01-18 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 56	Christian	Jackson	M	S	Lincoln Acres	United States
313	20110111	20110123	20110118	27625	1	100	1	SO43748	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2011-01-11 00:00:00.000	2011-01-23 00:00:00.000	2011-01-18 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 52	Alexandria	Hughes	F	S	Lake Oswego	United States
314	20110111	20110123	20110118	27636	1	100	1	SO43749	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2011-01-11 00:00:00.000	2011-01-23 00:00:00.000	2011-01-18 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 56	Paige	Murphy	F	M	Issaquah	United States
311	20110111	20110123	20110118	11591	1	39	7	SO43750	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2011-01-11 00:00:00.000	2011-01-23 00:00:00.000	2011-01-18 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 44	Stacey	Lu	F	S	Versailles	France
313	20110111	20110123	20110118	11592	1	39	7	SO43751	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2011-01-11 00:00:00.000	2011-01-23 00:00:00.000	2011-01-18 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 52	Darrell	Raji	M	S	Paris	France
311	20110111	20110123	20110118	13265	1	29	8	SO43752	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2011-01-11 00:00:00.000	2011-01-23 00:00:00.000	2011-01-18 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 44	Luke	Adams	M	S	Paderborn	Germany
310	20110111	20110123	20110118	16482	1	6	9	SO43753	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2011-01-11 00:00:00.000	2011-01-23 00:00:00.000	2011-01-18 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 62	Tabitha	Arthur	F	M	Bendigo	Australia
312	20110112	20110124	20110119	27617	1	100	1	SO43754	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2011-01-12 00:00:00.000	2011-01-24 00:00:00.000	2011-01-19 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 48	Morgan	Phillips	F	S	Olympia	United States
311	20110112	20110124	20110119	27670	1	100	4	SO43755	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2011-01-12 00:00:00.000	2011-01-24 00:00:00.000	2011-01-19 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 44	Kayla	Long	F	S	Novato	United States
332	20110112	20110124	20110119	19941	1	98	10	SO43756	1	1	1	699,0982	699,0982	0	0	413,1463	413,1463	699,0982	55,9279	17,4775	NULL	NULL	2011-01-12 00:00:00.000	2011-01-24 00:00:00.000	2011-01-19 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 650, negra, 58	Cedric	Liang	M	S	London	United Kingdom
350	20110112	20110124	20110119	11017	1	6	9	SO43757	1	1	1	3374,99	3374,99	0	0	1898,0944	1898,0944	3374,99	269,9992	84,3748	NULL	NULL	2011-01-12 00:00:00.000	2011-01-24 00:00:00.000	2011-01-19 00:00:00.000	Bicicleta	Bicicleta de montaña	Montaña: 100, negra, 44	Shannon	Wang	F	S	Sunbury	Australia
310	20110113	20110125	20110120	27646	1	100	4	SO43758	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2011-01-13 00:00:00.000	2011-01-25 00:00:00.000	2011-01-20 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 62	Jackson	Li	M	S	Imperial Beach	United States
310	20110113	20110125	20110120	13257	1	29	8	SO43759	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2011-01-13 00:00:00.000	2011-01-25 00:00:00.000	2011-01-20 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 62	Jon	Chander	M	M	Hof	Germany
314	20110113	20110125	20110120	16352	1	6	9	SO43760	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2011-01-13 00:00:00.000	2011-01-25 00:00:00.000	2011-01-20 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 56	Tiffany	Gao	F	S	Goulburn	Australia
310	20110113	20110125	20110120	16493	1	6	9	SO43761	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2011-01-13 00:00:00.000	2011-01-25 00:00:00.000	2011-01-20 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 62	Brenda	Fernandez	F	M	Seaford	Australia
314	20110114	20110126	20110121	27578	1	100	4	SO43762	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2011-01-14 00:00:00.000	2011-01-26 00:00:00.000	2011-01-21 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 56	Courtney	Carter	F	M	Lakewood	United States
313	20110114	20110126	20110121	16525	1	6	9	SO43763	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2011-01-14 00:00:00.000	2011-01-26 00:00:00.000	2011-01-21 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 52	Martha	Liang	F	M	Goulburn	Australia
310	20110114	20110126	20110121	16612	1	6	9	SO43764	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2011-01-14 00:00:00.000	2011-01-26 00:00:00.000	2011-01-21 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 62	Ebony	Ashe	F	S	Matraville	Australia
346	20110114	20110126	20110121	11010	1	6	9	SO43765	1	1	1	3399,99	3399,99	0	0	1912,1544	1912,1544	3399,99	271,9992	84,9998	NULL	NULL	2011-01-14 00:00:00.000	2011-01-26 00:00:00.000	2011-01-21 00:00:00.000	Bicicleta	Bicicleta de montaña	Montaña: 100, plateada, 44	Jacquelyn	Suarez	F	S	East Brisbane	Australia
313	20110115	20110127	20110122	16518	1	6	9	SO43766	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2011-01-15 00:00:00.000	2011-01-27 00:00:00.000	2011-01-22 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 52	Krystal	Holt	F	S	Cranbourne	Australia
350	20110115	20110127	20110122	11001	1	6	9	SO43767	1	1	1	3374,99	3374,99	0	0	1898,0944	1898,0944	3374,99	269,9992	84,3748	NULL	NULL	2011-01-15 00:00:00.000	2011-01-27 00:00:00.000	2011-01-22 00:00:00.000	Bicicleta	Bicicleta de montaña	Montaña: 100, negra, 44	Eugene	Huang	M	S	Seaford	Australia
312	20110116	20110128	20110123	27649	1	100	1	SO43768	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2011-01-16 00:00:00.000	2011-01-28 00:00:00.000	2011-01-23 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 48	Evan	Bailey	M	M	Seattle	United States
312	20110116	20110128	20110123	21659	1	19	6	SO43769	1	1	1	3578,27	3578,27	0	0	2171,2942	2171,2942	3578,27	286,2616	89,4568	NULL	NULL	2011-01-16 00:00:00.000	2011-01-28 00:00:00.000	2011-01-23 00:00:00.000	Bicicleta	Bicicleta de carretera	Carretera: 150, roja, 48	Gabrielle	Jenkins	F	M	Haney	Canada
